time_iso8601,stargazers_cumulative_snapshot
2025-09-29 06:20:19+00:00,219
2025-09-30 23:23:12+00:00,221
2025-10-07 23:23:26+00:00,223
2025-10-08 23:23:57+00:00,224
2025-10-10 23:23:08+00:00,225
2025-10-11 23:22:37+00:00,226
2025-10-13 23:23:30+00:00,228
2025-10-14 23:24:12+00:00,231
2025-10-15 23:23:34+00:00,232
2025-10-16 23:21:47+00:00,233
2025-10-18 23:23:25+00:00,234
2025-10-19 23:23:49+00:00,235
2025-10-20 23:24:15+00:00,238
2025-10-21 23:25:51+00:00,239
2025-10-23 23:23:48+00:00,241
2025-10-24 23:24:11+00:00,242
2025-10-25 23:23:06+00:00,243
2025-10-27 23:24:24+00:00,244
2025-10-28 23:25:26+00:00,245
2025-10-29 23:25:40+00:00,246
2025-11-04 23:25:52+00:00,247
2025-11-05 23:26:16+00:00,248
2025-11-06 23:25:17+00:00,249
2025-11-14 23:25:36+00:00,250
2025-11-15 23:24:29+00:00,251
2025-11-17 23:25:59+00:00,253
2025-12-02 23:09:19+00:00,254
2025-12-05 23:09:43+00:00,255
2025-12-06 23:09:10+00:00,257
2025-12-10 23:08:38+00:00,258
2025-12-11 23:09:34+00:00,259
2025-12-18 23:10:12+00:00,260
2025-12-25 23:09:18+00:00,261
2025-12-26 23:09:50+00:00,262
2026-01-05 23:10:06+00:00,263
2026-01-07 23:10:49+00:00,266
2026-01-12 23:09:06+00:00,268
2026-01-14 23:09:50+00:00,269
2026-01-15 23:10:14+00:00,270
2026-01-22 23:11:05+00:00,269
2026-01-28 23:13:40+00:00,270
2026-01-30 23:13:02+00:00,272
2026-02-02 23:13:17+00:00,273
2026-02-04 23:13:08+00:00,274
2026-02-05 23:12:03+00:00,275
2026-02-08 23:14:52+00:00,276
2026-02-09 23:20:10+00:00,277
2026-02-16 23:14:03+00:00,278
2026-03-03 23:12:54+00:00,279
2026-03-13 23:13:36+00:00,280
2026-03-15 23:14:46+00:00,281
2026-03-17 23:16:04+00:00,282
2026-03-20 23:14:15+00:00,283
2026-03-24 23:15:39+00:00,284
2026-03-26 23:14:27+00:00,285
2026-03-27 23:16:42+00:00,286
2026-04-06 23:19:16+00:00,288
2026-04-07 23:20:55+00:00,289
2026-04-08 23:21:38+00:00,290
2026-04-09 23:22:38+00:00,291
2026-04-12 23:17:39+00:00,292
2026-04-13 23:24:46+00:00,293
2026-04-15 23:24:05+00:00,294
2026-04-16 23:22:53+00:00,295
2026-04-21 23:20:34+00:00,296
2026-04-23 23:24:44+00:00,297
2026-04-28 23:27:03+00:00,298
2026-04-30 23:26:27+00:00,299
2026-05-07 23:26:11+00:00,300
2026-05-08 23:27:42+00:00,301
2026-05-12 23:31:28+00:00,303
2026-05-13 23:32:27+00:00,304
2026-05-14 23:26:58+00:00,305
2026-05-15 23:26:39+00:00,306
2026-05-18 23:31:15+00:00,308
2026-05-20 23:35:36+00:00,309
2026-05-23 23:26:48+00:00,310
2026-05-25 23:32:27+00:00,309
2026-05-26 23:32:38+00:00,310
2026-05-28 23:36:08+00:00,311
2026-06-17 23:41:28+00:00,312
2026-06-24 23:33:37+00:00,313
2026-07-08 00:07:12+00:00,314
