time_iso8601,stars_cumulative
2024-02-01 00:00:00+00:00,1
2024-02-06 00:00:00+00:00,2
2024-02-18 00:00:00+00:00,4
2024-02-19 00:00:00+00:00,5
2024-02-20 00:00:00+00:00,7
2024-02-23 00:00:00+00:00,9
2024-02-26 00:00:00+00:00,10
2024-02-27 00:00:00+00:00,11
2024-02-29 00:00:00+00:00,14
2024-03-12 00:00:00+00:00,15
2024-03-13 00:00:00+00:00,16
2024-03-16 00:00:00+00:00,17
2024-03-18 00:00:00+00:00,18
2024-03-21 00:00:00+00:00,19
2024-03-25 00:00:00+00:00,20
2024-03-28 00:00:00+00:00,21
2024-04-02 00:00:00+00:00,22
2024-04-06 00:00:00+00:00,23
2024-04-10 00:00:00+00:00,24
2024-04-12 00:00:00+00:00,25
2024-04-20 00:00:00+00:00,26
2024-04-23 00:00:00+00:00,27
2024-04-24 00:00:00+00:00,28
2024-04-26 00:00:00+00:00,29
2024-04-27 00:00:00+00:00,30
2024-05-07 00:00:00+00:00,31
2024-05-15 00:00:00+00:00,32
2024-05-16 00:00:00+00:00,33
2024-05-17 00:00:00+00:00,34
2024-06-21 00:00:00+00:00,35
2024-06-24 00:00:00+00:00,36
2024-06-27 00:00:00+00:00,37
2024-07-14 00:00:00+00:00,38
2024-07-23 00:00:00+00:00,39
2024-07-24 00:00:00+00:00,40
2024-07-25 00:00:00+00:00,41
2024-07-26 00:00:00+00:00,43
2024-07-29 00:00:00+00:00,44
2024-08-05 00:00:00+00:00,45
2024-08-14 00:00:00+00:00,46
2024-08-17 00:00:00+00:00,47
2024-08-20 00:00:00+00:00,48
2024-08-22 00:00:00+00:00,50
2024-08-26 00:00:00+00:00,51
2024-08-28 00:00:00+00:00,55
2024-08-29 00:00:00+00:00,57
2024-09-02 00:00:00+00:00,59
2024-09-05 00:00:00+00:00,60
2024-09-10 00:00:00+00:00,63
2024-09-12 00:00:00+00:00,64
2024-09-13 00:00:00+00:00,65
2024-09-14 00:00:00+00:00,66
2024-09-17 00:00:00+00:00,68
2024-09-18 00:00:00+00:00,70
2024-09-20 00:00:00+00:00,71
2024-09-27 00:00:00+00:00,72
2024-09-29 00:00:00+00:00,73
2024-09-30 00:00:00+00:00,74
2024-10-02 00:00:00+00:00,75
2024-10-10 00:00:00+00:00,78
2024-10-11 00:00:00+00:00,81
2024-10-17 00:00:00+00:00,83
2024-10-18 00:00:00+00:00,84
2024-10-22 00:00:00+00:00,85
2024-10-24 00:00:00+00:00,86
2024-10-25 00:00:00+00:00,88
2024-10-31 00:00:00+00:00,89
2024-11-02 00:00:00+00:00,90
2024-11-05 00:00:00+00:00,94
2024-11-06 00:00:00+00:00,95
2024-11-07 00:00:00+00:00,96
2024-11-11 00:00:00+00:00,98
2024-11-13 00:00:00+00:00,99
2024-11-15 00:00:00+00:00,100
