time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,153,60,591,182
2026-06-02 00:00:00+00:00,192,87,565,194
2026-06-03 00:00:00+00:00,553,115,514,179
2026-06-04 00:00:00+00:00,529,128,544,184
2026-06-05 00:00:00+00:00,508,153,813,216
2026-06-06 00:00:00+00:00,949,76,167,78
2026-06-07 00:00:00+00:00,232,29,204,105
2026-06-08 00:00:00+00:00,353,106,725,227
2026-06-09 00:00:00+00:00,320,132,754,217
2026-06-10 00:00:00+00:00,459,129,635,229
2026-06-11 00:00:00+00:00,141,75,667,253
2026-06-12 00:00:00+00:00,236,74,807,246
2026-06-13 00:00:00+00:00,56,40,166,74
2026-06-14 00:00:00+00:00,261,47,172,80
