time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,44,15,1066,279
2025-12-18 00:00:00+00:00,111,49,951,298
2025-12-19 00:00:00+00:00,124,37,1055,228
2025-12-20 00:00:00+00:00,31,21,149,92
2025-12-21 00:00:00+00:00,32,16,184,84
2025-12-22 00:00:00+00:00,186,50,1122,293
2025-12-23 00:00:00+00:00,233,71,965,237
2025-12-24 00:00:00+00:00,102,41,904,240
2025-12-25 00:00:00+00:00,88,53,962,240
2025-12-26 00:00:00+00:00,152,57,1011,275
2025-12-27 00:00:00+00:00,46,26,343,131
2025-12-28 00:00:00+00:00,13,12,244,99
2025-12-29 00:00:00+00:00,84,47,1080,303
2025-12-30 00:00:00+00:00,61,38,730,223
