time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,14,12,166,75
2026-03-09 00:00:00+00:00,193,72,722,216
2026-03-10 00:00:00+00:00,212,88,863,204
2026-03-11 00:00:00+00:00,254,77,814,229
2026-03-12 00:00:00+00:00,197,52,804,260
2026-03-13 00:00:00+00:00,60,39,734,194
2026-03-14 00:00:00+00:00,29,24,202,76
2026-03-15 00:00:00+00:00,22,13,208,60
2026-03-16 00:00:00+00:00,63,37,760,204
2026-03-17 00:00:00+00:00,34,31,918,260
2026-03-18 00:00:00+00:00,148,62,833,239
2026-03-19 00:00:00+00:00,103,54,925,231
2026-03-20 00:00:00+00:00,23,21,670,207
2026-03-21 00:00:00+00:00,20,18,215,74
