time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,121,46,1263,271
2025-12-12 00:00:00+00:00,44,23,1142,230
2025-12-13 00:00:00+00:00,16,13,239,88
2025-12-14 00:00:00+00:00,32,30,213,90
2025-12-15 00:00:00+00:00,185,52,1089,279
2025-12-16 00:00:00+00:00,146,52,1219,224
2025-12-17 00:00:00+00:00,44,15,1066,284
2025-12-18 00:00:00+00:00,111,49,951,303
2025-12-19 00:00:00+00:00,124,37,1055,223
2025-12-20 00:00:00+00:00,31,21,149,92
2025-12-21 00:00:00+00:00,32,16,184,84
2025-12-22 00:00:00+00:00,186,50,1122,291
2025-12-23 00:00:00+00:00,233,71,965,240
2025-12-24 00:00:00+00:00,99,40,893,234
