time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,61,30,184,81
2026-05-04 00:00:00+00:00,153,37,217,82
2026-05-05 00:00:00+00:00,81,57,188,82
2026-05-06 00:00:00+00:00,521,179,823,216
2026-05-07 00:00:00+00:00,236,99,868,241
2026-05-08 00:00:00+00:00,327,120,1371,277
2026-05-09 00:00:00+00:00,612,215,1152,230
2026-05-10 00:00:00+00:00,68,56,206,76
2026-05-11 00:00:00+00:00,644,96,609,222
2026-05-12 00:00:00+00:00,231,76,837,231
2026-05-13 00:00:00+00:00,211,87,843,237
2026-05-14 00:00:00+00:00,209,81,853,251
2026-05-15 00:00:00+00:00,494,149,696,200
2026-05-16 00:00:00+00:00,44,35,130,61
