referrer,views_total,views_unique
github.com,1498,248
Google,1414,404
Bing,283,77
theriseunion.com,130,40
link.zhihu.com,79,34
2github.com,66,3
Baidu,54,23
qianwen.com,46,4
hellogithub.com,37,16
aws.amazon.com,37,10
