time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-12 00:00:00+00:00,138,42,1315,310
2025-11-13 00:00:00+00:00,134,36,940,289
2025-11-14 00:00:00+00:00,32,25,736,218
2025-11-15 00:00:00+00:00,32,16,299,97
2025-11-16 00:00:00+00:00,13,12,161,86
2025-11-17 00:00:00+00:00,155,51,1056,303
2025-11-18 00:00:00+00:00,205,34,960,237
2025-11-19 00:00:00+00:00,110,29,855,237
2025-11-20 00:00:00+00:00,88,32,1078,237
2025-11-21 00:00:00+00:00,65,47,963,256
2025-11-22 00:00:00+00:00,8,5,256,104
2025-11-23 00:00:00+00:00,11,10,242,88
2025-11-24 00:00:00+00:00,121,74,1037,278
2025-11-25 00:00:00+00:00,99,40,1136,281
