referrer,views_total,views_unique
github.com,3123,603
Google,888,483
Bing,152,74
cncf.io,119,57
linkedin.com,84,58
com.linkedin.android,48,31
Baidu,44,28
chatgpt.com,29,18
theriseunion.com,26,13
search.brave.com,24,9
