referrer,views_total,views_unique
github.com,1775,237
Google,1765,463
Bing,296,86
Baidu,108,44
c.100credit.cn,58,1
theriseunion.com,50,28
link.zhihu.com,44,24
dynamia.ai,35,5
bgithub.xyz,33,3
qianwen.com,27,6
