time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-30 00:00:00+00:00,185,101,1111,293
2026-03-31 00:00:00+00:00,247,84,1049,277
2026-04-01 00:00:00+00:00,132,44,992,258
2026-04-02 00:00:00+00:00,213,67,993,236
2026-04-03 00:00:00+00:00,148,61,825,210
2026-04-04 00:00:00+00:00,108,45,258,96
2026-04-05 00:00:00+00:00,21,18,174,67
2026-04-06 00:00:00+00:00,40,23,301,107
2026-04-07 00:00:00+00:00,96,33,896,258
2026-04-08 00:00:00+00:00,159,38,1071,254
2026-04-09 00:00:00+00:00,401,98,965,291
2026-04-10 00:00:00+00:00,241,75,1273,389
2026-04-11 00:00:00+00:00,531,27,322,178
2026-04-12 00:00:00+00:00,120,51,462,158
