referrer,views_total,views_unique
github.com,3358,489
Google,952,419
Bing,169,67
jimmysong.io,60,39
linkedin.com,49,33
link.zhihu.com,45,20
Baidu,41,24
statics.teams.cdn.office.net,33,13
tapd.cn,33,3
cncf.io,30,8
