time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,4823,272,1211,206
2026-06-26 00:00:00+00:00,6426,334,1036,195
2026-06-27 00:00:00+00:00,477,203,185,76
2026-06-28 00:00:00+00:00,2224,232,220,93
2026-06-29 00:00:00+00:00,2556,286,557,195
2026-06-30 00:00:00+00:00,2924,270,600,190
2026-07-01 00:00:00+00:00,2151,260,700,197
2026-07-02 00:00:00+00:00,2881,352,806,251
2026-07-03 00:00:00+00:00,2569,317,828,247
2026-07-04 00:00:00+00:00,2706,254,268,105
2026-07-05 00:00:00+00:00,1534,204,259,89
2026-07-06 00:00:00+00:00,1121,327,992,265
2026-07-07 00:00:00+00:00,415,150,1001,277
2026-07-08 00:00:00+00:00,1971,288,1106,261
