time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-01 00:00:00+00:00,27,16,145,72
2026-01-02 00:00:00+00:00,20,18,152,85
2026-01-03 00:00:00+00:00,18,15,121,70
2026-01-04 00:00:00+00:00,108,54,797,233
2026-01-05 00:00:00+00:00,136,45,1241,338
2026-01-06 00:00:00+00:00,69,29,1109,292
2026-01-07 00:00:00+00:00,170,46,1027,315
2026-01-08 00:00:00+00:00,180,46,949,280
2026-01-09 00:00:00+00:00,226,85,1154,341
2026-01-10 00:00:00+00:00,22,18,154,87
2026-01-11 00:00:00+00:00,36,20,140,87
2026-01-12 00:00:00+00:00,161,59,1211,352
2026-01-13 00:00:00+00:00,121,31,1030,296
2026-01-14 00:00:00+00:00,246,72,983,300
