referrer,views_total,views_unique
github.com,2062,380
Google,1483,450
Bing,136,64
jimmysong.io,81,55
theriseunion.com,55,15
search.brave.com,34,7
link.zhihu.com,30,18
project-hami.io,26,6
bgithub.xyz,26,2
Baidu,23,15
