time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-17 00:00:00+00:00,2704,312,1143,233
2026-07-18 00:00:00+00:00,1484,272,433,124
2026-07-19 00:00:00+00:00,1358,334,346,146
2026-07-20 00:00:00+00:00,1890,361,1297,295
2026-07-21 00:00:00+00:00,3572,336,895,242
2026-07-22 00:00:00+00:00,1440,333,773,205
2026-07-23 00:00:00+00:00,1949,285,753,238
2026-07-24 00:00:00+00:00,2696,324,939,232
2026-07-25 00:00:00+00:00,3729,222,342,122
2026-07-26 00:00:00+00:00,1331,236,311,96
2026-07-27 00:00:00+00:00,1337,350,1310,323
2026-07-28 00:00:00+00:00,1828,402,1728,335
2026-07-29 00:00:00+00:00,1541,369,2241,354
2026-07-30 00:00:00+00:00,1120,309,1497,357
