time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,60,29,297,146
2026-02-01 00:00:00+00:00,22,18,153,97
2026-02-02 00:00:00+00:00,113,46,809,272
2026-02-03 00:00:00+00:00,166,72,1089,254
2026-02-04 00:00:00+00:00,197,65,1227,267
2026-02-05 00:00:00+00:00,134,65,944,279
2026-02-06 00:00:00+00:00,174,67,942,210
2026-02-07 00:00:00+00:00,97,20,266,101
2026-02-08 00:00:00+00:00,21,17,163,98
2026-02-09 00:00:00+00:00,216,41,822,231
2026-02-10 00:00:00+00:00,46,31,650,240
2026-02-11 00:00:00+00:00,243,64,869,215
2026-02-12 00:00:00+00:00,178,82,731,201
2026-02-13 00:00:00+00:00,108,49,331,119
