time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-11 00:00:00+00:00,36,20,140,87
2026-01-12 00:00:00+00:00,161,59,1211,352
2026-01-13 00:00:00+00:00,121,31,1030,296
2026-01-14 00:00:00+00:00,246,72,983,300
2026-01-15 00:00:00+00:00,323,71,1335,290
2026-01-16 00:00:00+00:00,270,56,1155,249
2026-01-17 00:00:00+00:00,19,13,233,91
2026-01-18 00:00:00+00:00,13,12,147,97
2026-01-19 00:00:00+00:00,222,67,1335,295
2026-01-20 00:00:00+00:00,2828,119,2162,579
2026-01-21 00:00:00+00:00,203,80,1403,344
2026-01-22 00:00:00+00:00,125,62,1362,315
2026-01-23 00:00:00+00:00,228,66,1384,271
2026-01-24 00:00:00+00:00,95,51,283,105
