time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,44,35,130,61
2026-05-17 00:00:00+00:00,86,50,162,81
2026-05-18 00:00:00+00:00,252,116,685,226
2026-05-19 00:00:00+00:00,1226,260,858,202
2026-05-20 00:00:00+00:00,758,204,847,213
2026-05-21 00:00:00+00:00,274,113,589,196
2026-05-22 00:00:00+00:00,266,123,858,251
2026-05-23 00:00:00+00:00,93,44,212,82
2026-05-24 00:00:00+00:00,79,42,182,68
2026-05-25 00:00:00+00:00,455,130,949,247
2026-05-26 00:00:00+00:00,634,242,769,208
2026-05-27 00:00:00+00:00,585,189,641,214
2026-05-28 00:00:00+00:00,342,158,683,215
2026-05-29 00:00:00+00:00,172,98,637,201
