referrer,views_total,views_unique
github.com,1298,212
Google,940,317
Bing,144,42
Baidu,66,12
link.zhihu.com,35,9
theriseunion.com,28,14
dynamia.ai,24,4
yandex.ru,15,6
statics.teams.cdn.office.net,14,8
DuckDuckGo,14,7
