time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-21 00:00:00+00:00,53,43,150,32
2025-11-22 00:00:00+00:00,32,30,30,15
2025-11-23 00:00:00+00:00,30,29,65,15
2025-11-24 00:00:00+00:00,46,35,130,34
2025-11-25 00:00:00+00:00,53,42,185,59
2025-11-26 00:00:00+00:00,59,52,125,35
2025-11-27 00:00:00+00:00,61,51,194,35
2025-11-28 00:00:00+00:00,87,50,137,33
2025-11-29 00:00:00+00:00,27,25,31,12
2025-11-30 00:00:00+00:00,30,27,35,14
2025-12-01 00:00:00+00:00,82,73,98,37
2025-12-02 00:00:00+00:00,114,73,280,41
2025-12-03 00:00:00+00:00,106,86,164,49
2025-12-04 00:00:00+00:00,67,48,253,63
