time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-24 00:00:00+00:00,86,34,249,38
2026-03-25 00:00:00+00:00,136,45,267,33
2026-03-26 00:00:00+00:00,50,38,236,36
2026-03-27 00:00:00+00:00,25,20,86,33
2026-03-28 00:00:00+00:00,18,13,33,24
2026-03-29 00:00:00+00:00,21,17,15,12
2026-03-30 00:00:00+00:00,178,57,261,35
2026-03-31 00:00:00+00:00,79,55,128,42
2026-04-01 00:00:00+00:00,68,45,98,29
2026-04-02 00:00:00+00:00,47,36,132,26
2026-04-03 00:00:00+00:00,66,51,135,43
2026-04-04 00:00:00+00:00,27,24,13,5
2026-04-05 00:00:00+00:00,15,14,18,10
2026-04-06 00:00:00+00:00,23,15,80,16
