referrer,views_total,views_unique
github.com,878,137
Google,175,63
chatgpt.com,20,6
teams.public.onecdn.static.microsoft,17,5
Bing,16,6
e.mail.ru,14,1
search.brave.com,5,1
claude.ai,4,2
yandex.ru,4,1
lixueduan.com,3,1
