time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-11 00:00:00+00:00,54,45,226,55
2025-12-12 00:00:00+00:00,40,36,135,44
2025-12-13 00:00:00+00:00,31,29,25,12
2025-12-14 00:00:00+00:00,26,24,19,13
2025-12-15 00:00:00+00:00,54,48,173,41
2025-12-16 00:00:00+00:00,52,48,146,33
2025-12-17 00:00:00+00:00,47,44,159,34
2025-12-18 00:00:00+00:00,58,48,125,31
2025-12-19 00:00:00+00:00,52,48,119,40
2025-12-20 00:00:00+00:00,29,26,51,12
2025-12-21 00:00:00+00:00,32,28,13,9
2025-12-22 00:00:00+00:00,54,49,151,36
2025-12-23 00:00:00+00:00,69,59,166,29
2025-12-24 00:00:00+00:00,50,46,108,30
