referrer,views_total,views_unique
github.com,381,110
Google,121,36
Bing,60,12
bvb1vt2cr9.feishu.cn,7,1
chatgpt.com,7,1
search.brave.com,4,1
usso.uberinternal.com,3,2
data-science-dev.wildberries.ru,3,1
yuque.antfin.com,3,1
Baidu,2,2
