referrer,views_total,views_unique
github.com,838,131
Google,163,61
chatgpt.com,24,7
teams.public.onecdn.static.microsoft,17,5
Bing,15,5
e.mail.ru,15,1
search.brave.com,13,2
claude.ai,4,2
yandex.ru,4,1
xiexianbin.cn,3,2
