time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,74,58,23,11
2026-07-04 00:00:00+00:00,53,41,20,7
2026-07-05 00:00:00+00:00,35,31,28,11
2026-07-06 00:00:00+00:00,139,90,46,23
2026-07-07 00:00:00+00:00,141,89,58,23
2026-07-08 00:00:00+00:00,210,104,157,38
2026-07-09 00:00:00+00:00,111,95,126,31
2026-07-10 00:00:00+00:00,238,160,73,23
2026-07-11 00:00:00+00:00,50,47,77,6
2026-07-12 00:00:00+00:00,35,25,31,10
2026-07-13 00:00:00+00:00,256,103,112,33
2026-07-14 00:00:00+00:00,79,65,94,28
2026-07-15 00:00:00+00:00,79,64,132,25
2026-07-16 00:00:00+00:00,110,88,66,27
