time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-15 00:00:00+00:00,54,48,173,41
2025-12-16 00:00:00+00:00,52,48,146,33
2025-12-17 00:00:00+00:00,47,44,159,34
2025-12-18 00:00:00+00:00,58,48,125,31
2025-12-19 00:00:00+00:00,52,48,119,40
2025-12-20 00:00:00+00:00,29,26,51,12
2025-12-21 00:00:00+00:00,32,28,13,9
2025-12-22 00:00:00+00:00,54,49,151,36
2025-12-23 00:00:00+00:00,69,59,166,29
2025-12-24 00:00:00+00:00,51,46,119,38
2025-12-25 00:00:00+00:00,52,47,114,46
2025-12-26 00:00:00+00:00,60,53,87,38
2025-12-27 00:00:00+00:00,54,37,10,10
2025-12-28 00:00:00+00:00,26,25,10,10
