time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,132,98,113,42
2026-05-01 00:00:00+00:00,39,29,9,7
2026-05-02 00:00:00+00:00,57,47,30,8
2026-05-03 00:00:00+00:00,25,22,6,4
2026-05-04 00:00:00+00:00,136,49,20,15
2026-05-05 00:00:00+00:00,53,31,17,9
2026-05-06 00:00:00+00:00,123,89,189,37
2026-05-07 00:00:00+00:00,55,40,146,37
2026-05-08 00:00:00+00:00,103,85,153,36
2026-05-09 00:00:00+00:00,198,145,232,26
2026-05-10 00:00:00+00:00,49,46,13,7
2026-05-11 00:00:00+00:00,63,55,90,30
2026-05-12 00:00:00+00:00,170,56,201,55
2026-05-13 00:00:00+00:00,106,64,131,52
