referrer,views_total,views_unique
github.com,839,129
Google,147,62
chatgpt.com,24,7
teams.public.onecdn.static.microsoft,16,4
e.mail.ru,15,1
search.brave.com,14,3
Bing,12,5
claude.ai,4,2
yandex.ru,4,1
xiexianbin.cn,3,2
