referrer,views_total,views_unique
github.com,935,129
Google,146,54
search.brave.com,47,3
chatgpt.com,25,8
Bing,14,6
e.mail.ru,13,1
teams.public.onecdn.static.microsoft,10,2
t.co,4,4
Baidu,4,2
kor1.samsung.net,4,1
