time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,160,107,191,37
2026-06-18 00:00:00+00:00,167,95,130,28
2026-06-19 00:00:00+00:00,88,36,45,11
2026-06-20 00:00:00+00:00,72,59,19,9
2026-06-21 00:00:00+00:00,34,33,21,12
2026-06-22 00:00:00+00:00,315,57,82,32
2026-06-23 00:00:00+00:00,61,44,87,32
2026-06-24 00:00:00+00:00,107,51,91,24
2026-06-25 00:00:00+00:00,63,49,64,29
2026-06-26 00:00:00+00:00,159,108,77,26
2026-06-27 00:00:00+00:00,40,38,8,5
2026-06-28 00:00:00+00:00,48,35,82,11
2026-06-29 00:00:00+00:00,105,72,49,21
2026-06-30 00:00:00+00:00,181,86,99,21
