time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-08 00:00:00+00:00,32,31,18,10
2025-11-09 00:00:00+00:00,29,28,14,10
2025-11-10 00:00:00+00:00,84,48,205,38
2025-11-11 00:00:00+00:00,82,61,280,48
2025-11-12 00:00:00+00:00,96,76,205,55
2025-11-13 00:00:00+00:00,78,56,221,55
2025-11-14 00:00:00+00:00,49,41,128,44
2025-11-15 00:00:00+00:00,31,30,7,5
2025-11-16 00:00:00+00:00,29,27,20,12
2025-11-17 00:00:00+00:00,72,60,138,40
2025-11-18 00:00:00+00:00,103,92,89,36
2025-11-19 00:00:00+00:00,59,47,149,39
2025-11-20 00:00:00+00:00,57,48,186,43
2025-11-21 00:00:00+00:00,53,43,149,32
