time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,93,65,16,7
2026-05-24 00:00:00+00:00,80,41,2,2
2026-05-25 00:00:00+00:00,167,92,203,22
2026-05-26 00:00:00+00:00,128,91,138,31
2026-05-27 00:00:00+00:00,116,98,65,29
2026-05-28 00:00:00+00:00,58,49,66,23
2026-05-29 00:00:00+00:00,74,56,80,21
2026-05-30 00:00:00+00:00,62,38,64,17
2026-05-31 00:00:00+00:00,44,34,23,12
2026-06-01 00:00:00+00:00,63,59,83,25
2026-06-02 00:00:00+00:00,85,77,42,21
2026-06-03 00:00:00+00:00,231,75,49,17
2026-06-04 00:00:00+00:00,276,94,67,31
2026-06-05 00:00:00+00:00,62,50,85,29
