referrer,views_total,views_unique
github.com,547,118
Google,118,50
Bing,9,8
chatgpt.com,5,4
linkedin.com,3,2
Baidu,2,1
cloudthrill.ca,2,1
cozystack.io,1,1
lixueduan.com,1,1
search.brave.com,1,1
