time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,87,57,159,20
2026-02-14 00:00:00+00:00,25,24,119,14
2026-02-15 00:00:00+00:00,23,21,12,8
2026-02-16 00:00:00+00:00,45,31,13,8
2026-02-17 00:00:00+00:00,41,25,91,11
2026-02-18 00:00:00+00:00,48,27,45,14
2026-02-19 00:00:00+00:00,34,21,58,10
2026-02-20 00:00:00+00:00,39,25,55,10
2026-02-21 00:00:00+00:00,23,19,4,4
2026-02-22 00:00:00+00:00,29,21,18,10
2026-02-23 00:00:00+00:00,47,24,50,13
2026-02-24 00:00:00+00:00,102,49,198,32
2026-02-25 00:00:00+00:00,100,49,190,39
2026-02-26 00:00:00+00:00,86,40,236,44
