time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,164,155,185,42
2026-08-01 00:00:00+00:00,139,122,76,20
2026-08-02 00:00:00+00:00,303,115,65,13
2026-08-03 00:00:00+00:00,359,314,143,31
2026-08-04 00:00:00+00:00,317,233,169,45
2026-08-05 00:00:00+00:00,185,157,167,43
2026-08-06 00:00:00+00:00,386,268,206,32
2026-08-07 00:00:00+00:00,279,249,123,27
2026-08-08 00:00:00+00:00,296,207,40,23
2026-08-09 00:00:00+00:00,357,255,98,30
2026-08-10 00:00:00+00:00,512,322,123,40
2026-08-11 00:00:00+00:00,458,250,246,36
2026-08-12 00:00:00+00:00,330,198,200,59
2026-08-13 00:00:00+00:00,257,238,140,33
